"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050708","regulation of protein secretion","74/3925","245/18842",0.302040816326531,1.44994982451579,3.63627519900844,0.000320301968857139,0.00386578288199276,0.00386578288199276,"NMU/CD200/WLS/RAB11FIP3/PRKCA/BRSK2/HCAR2/MLXIPL/EPHA5/RSAD2/TRPA1/IGF1/UQCC2/BMP8A/PPARG/PDE1C/DRD2/PRKACB/SLC25A22/BAIAP3/ALDOA/GPER1/CCN3/F2R/ABAT/DRD4/IL6/IDH2/KCNB1/STX1A/IL12B/MYRIP/KCNJ11/FGA/TCF7L2/RBP4/PER2/PDE8B/CACNA2D1/KCNA5/IL13/PRKN/GCK/RFX6/SLC30A8/ADAM8/FRMD4A/ADCY5/CAMP/FAM3D/DNAJC1/RAPGEF3/IFNG/CHGA/ADCY8/CARTPT/DOC2B/PARD6A/FOXO1/TLR4/ABCA12/BMP6/ATP13A2/CACNG4/ABCC8/SAA1/TRPM5/NNAT/ADORA2A/HADH/NKX6-1/IRS2/BLK/GPLD1",74
"GO:0006706","steroid catabolic process","13/3925","24/18842",0.541666666666667,2.60027600849257,4.02387835808807,0.000328909761761196,0.00394486145512335,0.00394486145512335,"AKR1D1/CYP1A1/HSD17B6/HSD17B11/SPP1/CYP7A1/HSD11B1/CYP46A1/SRD5A2/SULT1E1/CYP1A2/CYP27B1/CYP3A4",13
"GO:0030431","sleep","13/3925","24/18842",0.541666666666667,2.60027600849257,4.02387835808807,0.000328909761761196,0.00394486145512335,0.00394486145512335,"NMU/GHRH/DRD2/PTGDS/MCHR1/ADRB1/IL18/CARTPT/MRGPRX2/PARP1/ADORA2A/PLN/KCNA2",13
"GO:0048546","digestive tract morphogenesis","13/3925","24/18842",0.541666666666667,2.60027600849257,4.02387835808807,0.000328909761761196,0.00394486145512335,0.00394486145512335,"TCF21/SOX17/SOX11/SFRP5/RBPMS2/STRA6/GATA4/PDGFRA/AGR2/SIX2/NPR2/PERCC1/WNT11",13
"GO:0030073","insulin secretion","55/3925","171/18842",0.321637426900585,1.5440235408053,3.66575148294499,0.000332962964085191,0.00398517210860384,0.00398517210860384,"RIMS2/PRKCA/BRSK2/MLXIPL/EPHA5/TRPA1/UQCC2/BMP8A/DRD2/PRKACB/SLC25A22/BAIAP3/ALDOA/GPER1/CCN3/ABAT/IL6/KCNB1/STX1A/MYRIP/KCNJ11/TCF7L2/RBP4/PER2/PDE8B/CACNA2D1/KCNA5/PRKN/GCK/RFX6/RAB3A/SLC30A8/ADCY5/CAMP/FAM3D/RAPGEF3/IFNG/CHGA/ADCY8/CARTPT/DOC2B/FOXO1/ABCA12/MAFA/CACNG4/ABCC8/TRPM5/NNAT/HADH/NKX6-1/PTPRN2/IRS2/BLK/GAL/GPLD1",55
"GO:1904427","positive regulation of calcium ion transmembrane transport","23/3925","55/18842",0.418181818181818,2.00748581354951,3.83815604075709,0.000335732757694733,0.00400998648557796,0.00400998648557796,"CAPN3/P2RX5/P2RY6/TOR2A/GPER1/LACRT/F2R/SNCA/CXCL11/CD19/IL13/TRPC1/CX3CL1/MS4A1/AKAP6/AKAP5/CEMIP/CAV1/CXCL10/CXCL9/CXCR3/ADCYAP1R1/NTSR1",23
"GO:0043010","camera-type eye development","64/3925","206/18842",0.310679611650485,1.4914204440047,3.63782279308505,0.000339645270935714,0.00404831847779897,0.00404831847779897,"INHBA/LCTL/MYOM1/SOX12/DCX/CYP1A1/SGCA/WNT9B/TH/ACVRL1/ALDH1A3/TMOD1/WT1/MAF/SERPINF1/RPE65/RP1/ANGPTL7/DRD2/WNT7B/WNT7A/SLC1A1/SOX11/SPRY2/PLAAT1/FBN2/SPRY1/STRA6/PTPRM/SLC17A7/SSPN/RBP4/PER2/SIX3/LHX1/CLDN3/PAX2/FOS/PAX6/DMD/LENEP/NRP1/PDGFRA/GPM6A/FGF2/ZEB2/CRYBG3/SGCG/SAMD11/MFSD2A/EFEMP1/SPRED3/PROX1/FZD4/CNGA3/PLAAT3/PROX2/SHROOM2/CLDN19/KDM5B/RP1L1/DLX2/CRB2/NES",64
"GO:0032330","regulation of chondrocyte differentiation","18/3925","39/18842",0.461538461538462,2.21561979421852,3.89805133425607,0.000345135208065422,0.00407996589904031,0.00407996589904031,"ADAMTS12/NR5A2/ADAMTS7/ZBTB16/ACVRL1/MBOAT2/TRPS1/GDF5/MDK/BMPR1B/SOX5/CCN4/EFEMP1/BMP6/SIX2/NKX3-2/PKDCC/GREM1",18
"GO:0035850","epithelial cell differentiation involved in kidney development","18/3925","39/18842",0.461538461538462,2.21561979421852,3.89805133425607,0.000345135208065422,0.00407996589904031,0.00407996589904031,"NPHS1/KLF15/FOXJ1/GATA3/EDN1/CD34/ACTA2/STAT1/WT1/MMP9/GDNF/OSR1/LHX1/BASP1/PAX2/CD24/SIX2/GREM1",18
"GO:0060306","regulation of membrane repolarization","18/3925","39/18842",0.461538461538462,2.21561979421852,3.89805133425607,0.000345135208065422,0.00407996589904031,0.00407996589904031,"KCNH2/CACNA1D/CASQ2/CAV3/CACNB3/ANK2/CACNA2D1/KCNA5/SCN5A/SCN4B/KCNE1/AKAP6/KCNE4/CAV1/NOS1/KCNIP2/KCNH6/KCNJ2",18
